""	"ID"	"Symbol"	"COL"	"ROW"	"NAME"
"130"	"TC01000130.hg.1"	"APITD1-CORT"	"NA"	"NA"	"NM_001243768"
"131"	"TC01000131.hg.1"	"OTTHUMG00000001907"	"NA"	"NA"	"OTTHUMT00000005413"
"132"	"TC01000132.hg.1"	"PEX14"	"NA"	"NA"	"NM_004565"
"133"	"TC01000133.hg.1"	"NA"	"NA"	"NA"	"---"
"134"	"TC01000134.hg.1"	"TARDBP"	"NA"	"NA"	"NM_007375"
"135"	"TC01000135.hg.1"	"OTTHUMG00000034707"	"NA"	"NA"	"OTTHUMT00000083946"
"136"	"TC01000136.hg.1"	"OTTHUMG00000002122"	"NA"	"NA"	"OTTHUMT00000006076"
"137"	"TC01000137.hg.1"	"MTOR-AS1"	"NA"	"NA"	"ENST00000420480"
"138"	"TC01000138.hg.1"	"NA"	"NA"	"NA"	"---"
"139"	"TC01000139.hg.1"	"ANGPTL7"	"NA"	"NA"	"NM_021146"
"140"	"TC01000140.hg.1"	"NA"	"NA"	"NA"	"---"
"141"	"TC01000141.hg.1"	"UBIAD1"	"NA"	"NA"	"NM_013319"
"142"	"TC01000142.hg.1"	"PTCHD2"	"NA"	"NA"	"NM_020780"
"143"	"TC01000143.hg.1"	"OTTHUMG00000002076"	"NA"	"NA"	"OTTHUMT00000005777"
"144"	"TC01000144.hg.1"	"FBXO44"	"NA"	"NA"	"NM_001014765"
"145"	"TC01000145.hg.1"	"FBXO6"	"NA"	"NA"	"NM_018438"
"146"	"TC01000146.hg.1"	"DRAXIN"	"NA"	"NA"	"NM_198545"
"147"	"TC01000147.hg.1"	"AGTRAP"	"NA"	"NA"	"NM_001040194"
"148"	"TC01000148.hg.1"	"LOC100506310"	"NA"	"NA"	"ENST00000433342"
"149"	"TC01000149.hg.1"	"CLCN6"	"NA"	"NA"	"NM_001286"
"150"	"TC01000150.hg.1"	"RNU5E-1"	"NA"	"NA"	"ENST00000362477"
"151"	"TC01000151.hg.1"	"PLOD1"	"NA"	"NA"	"NM_000302"
"152"	"TC01000152.hg.1"	"MFN2"	"NA"	"NA"	"NM_001127660"
"153"	"TC01000153.hg.1"	"MIIP"	"NA"	"NA"	"NM_021933"
"154"	"TC01000154.hg.1"	"TNFRSF8"	"NA"	"NA"	"NM_001243"
"155"	"TC01000155.hg.1"	"TNFRSF1B"	"NA"	"NA"	"NM_001066"
"156"	"TC01000156.hg.1"	"VPS13D"	"NA"	"NA"	"NM_015378"
"157"	"TC01000157.hg.1"	"SNORA59B"	"NA"	"NA"	"NR_003022"
"158"	"TC01000158.hg.1"	"OTTHUMG00000013154"	"NA"	"NA"	"OTTHUMT00000036896"
"159"	"TC01000159.hg.1"	"AADACL4"	"NA"	"NA"	"NM_001013630"
"160"	"TC01000160.hg.1"	"AADACL3"	"NA"	"NA"	"NM_001103169"
"161"	"TC01000161.hg.1"	"NA"	"NA"	"NA"	"---"
"162"	"TC01000162.hg.1"	"C1orf158"	"NA"	"NA"	"NM_152290"
"163"	"TC01000163.hg.1"	"PRAMEF12"	"NA"	"NA"	"NM_001080830"
"164"	"TC01000164.hg.1"	"PRAMEF1"	"NA"	"NA"	"NM_023013"
"165"	"TC01000165.hg.1"	"PRAMEF2"	"NA"	"NA"	"NM_023014"
"166"	"TC01000166.hg.1"	"PRAMEF8"	"NA"	"NA"	"NM_001012276"
"167"	"TC01000167.hg.1"	"NA"	"NA"	"NA"	"---"
"168"	"TC01000168.hg.1"	"PRAMEF22"	"NA"	"NA"	"NM_001100631"
"169"	"TC01000169.hg.1"	"OTTHUMG00000009500"	"NA"	"NA"	"OTTHUMT00000026266"
"170"	"TC01000170.hg.1"	"PRAMEF5"	"NA"	"NA"	"BC101344"
"171"	"TC01000171.hg.1"	"PRAMEF9"	"NA"	"NA"	"NM_001010890"
"172"	"TC01000172.hg.1"	"OTTHUMG00000008038"	"NA"	"NA"	"OTTHUMT00000022044"
"173"	"TC01000173.hg.1"	"PRAMEF16"	"NA"	"NA"	"NM_001045480"
"174"	"TC01000174.hg.1"	"PRAMEF21"	"NA"	"NA"	"NM_001100114"
"175"	"TC01000175.hg.1"	"PRAMEF10"	"NA"	"NA"	"BC112210"
"176"	"TC01000176.hg.1"	"PRAMEF9"	"NA"	"NA"	"NM_001010890"
"177"	"TC01000177.hg.1"	"NA"	"NA"	"NA"	"---"
"178"	"TC01000178.hg.1"	"PRAMEF17"	"NA"	"NA"	"NM_001099851"
"179"	"TC01000179.hg.1"	"PRAMEF20"	"NA"	"NA"	"NM_001099852"
"180"	"TC01000180.hg.1"	"OTTHUMG00000007920"	"NA"	"NA"	"OTTHUMT00000021795"
"181"	"TC01000181.hg.1"	"PDPN"	"NA"	"NA"	"NM_001006624"
"182"	"TC01000182.hg.1"	"PRDM2"	"NA"	"NA"	"NM_001007257"
"183"	"TC01000183.hg.1"	"NA"	"NA"	"NA"	"---"
"184"	"TC01000184.hg.1"	"KAZN"	"NA"	"NA"	"NM_001018001"
"185"	"TC01000185.hg.1"	"TMEM51"	"NA"	"NA"	"NM_001136216"
"186"	"TC01000186.hg.1"	"FHAD1"	"NA"	"NA"	"NM_052929"
"187"	"TC01000187.hg.1"	"EFHD2"	"NA"	"NA"	"NM_024329"
"188"	"TC01000188.hg.1"	"CTRC"	"NA"	"NA"	"NM_007272"
"189"	"TC01000190.hg.1"	"DNAJC16"	"NA"	"NA"	"NM_015291"
"190"	"TC01000191.hg.1"	"NA"	"NA"	"NA"	"---"
"191"	"TC01000192.hg.1"	"CHCHD2P6"	"NA"	"NA"	"ENST00000420030"
"192"	"TC01000193.hg.1"	"RSC1A1"	"NA"	"NA"	"NM_006511"
"193"	"TC01000194.hg.1"	"PLEKHM2"	"NA"	"NA"	"NM_015164"
"194"	"TC01000195.hg.1"	"SLC25A34"	"NA"	"NA"	"NM_207348"
"195"	"TC01000196.hg.1"	"TMEM82"	"NA"	"NA"	"NM_001013641"
"196"	"TC01000197.hg.1"	"FBLIM1"	"NA"	"NA"	"NM_001024215"
"197"	"TC01000198.hg.1"	"SPEN"	"NA"	"NA"	"NM_015001"
"198"	"TC01000199.hg.1"	"NA"	"NA"	"NA"	"---"
"199"	"TC01000200.hg.1"	"C1orf64"	"NA"	"NA"	"NM_178840"
"200"	"TC01000202.hg.1"	"OTTHUMG00000009528"	"NA"	"NA"	"OTTHUMT00000026325"
"201"	"TC01000203.hg.1"	"OTTHUMG00000035305"	"NA"	"NA"	"OTTHUMT00000085369"
"202"	"TC01000204.hg.1"	"ARHGEF19-AS1"	"NA"	"NA"	"ENST00000457809"
"203"	"TC01000205.hg.1"	"SZRD1"	"NA"	"NA"	"NM_001114600"
"204"	"TC01000206.hg.1"	"NECAP2"	"NA"	"NA"	"NM_001145277"
"205"	"TC01000207.hg.1"	"OTTHUMG00000002314"	"NA"	"NA"	"OTTHUMT00000006685"
"206"	"TC01000208.hg.1"	"OTTHUMG00000002490"	"NA"	"NA"	"OTTHUMT00000007047"
"207"	"TC01000209.hg.1"	"LOC100506533"	"NA"	"NA"	"ENST00000357301"
"208"	"TC01000210.hg.1"	"MIR3675"	"NA"	"NA"	"NR_037446"
"209"	"TC01000211.hg.1"	"NA"	"NA"	"NA"	"---"
"210"	"TC01000212.hg.1"	"MST1P2"	"NA"	"NA"	"NR_027504"
"211"	"TC01000213.hg.1"	"LOC101060384"	"NA"	"NA"	"ENST00000434336"
"212"	"TC01000214.hg.1"	"NA"	"NA"	"NA"	"---"
"213"	"TC01000215.hg.1"	"NA"	"NA"	"NA"	"---"
"214"	"TC01000216.hg.1"	"NA"	"NA"	"NA"	"---"
"215"	"TC01000217.hg.1"	"CROCC"	"NA"	"NA"	"NM_014675"
"216"	"TC01000218.hg.1"	"RNU1-1"	"NA"	"NA"	"ENST00000384659"
"217"	"TC01000219.hg.1"	"OTTHUMG00000002202"	"NA"	"NA"	"OTTHUMT00000006253"
"218"	"TC01000220.hg.1"	"NA"	"NA"	"NA"	"---"
"219"	"TC01000221.hg.1"	"NA"	"NA"	"NA"	"---"
"220"	"TC01000222.hg.1"	"LOC440570"	"NA"	"NA"	"ENST00000438002"
"221"	"TC01000223.hg.1"	"NA"	"NA"	"NA"	"---"
"222"	"TC01000224.hg.1"	"NA"	"NA"	"NA"	"---"
"223"	"TC01000225.hg.1"	"RNU1-1"	"NA"	"NA"	"ENST00000384278"
"224"	"TC01000226.hg.1"	"NA"	"NA"	"NA"	"---"
"225"	"TC01000227.hg.1"	"OTTHUMG00000002292"	"NA"	"NA"	"OTTHUMT00000006616"
"226"	"TC01000228.hg.1"	"NA"	"NA"	"NA"	"---"
"227"	"TC01000229.hg.1"	"LOC400743"	"NA"	"NA"	"ENST00000412427"
"228"	"TC01000230.hg.1"	"PADI1"	"NA"	"NA"	"NM_013358"
"229"	"TC01000231.hg.1"	"PADI3"	"NA"	"NA"	"NM_016233"
"230"	"TC01000232.hg.1"	"PADI4"	"NA"	"NA"	"NM_012387"
"231"	"TC01000233.hg.1"	"PADI6"	"NA"	"NA"	"NM_207421"
"232"	"TC01000234.hg.1"	"OTTHUMG00000037449"	"NA"	"NA"	"OTTHUMT00000091165"
"233"	"TC01000235.hg.1"	"NA"	"NA"	"NA"	"---"
"234"	"TC01000236.hg.1"	"ARHGEF10L"	"NA"	"NA"	"NM_001011722"
"235"	"TC01000237.hg.1"	"OTTHUMG00000002515"	"NA"	"NA"	"OTTHUMT00000007156"
"236"	"TC01000238.hg.1"	"ACTL8"	"NA"	"NA"	"NM_030812"
"237"	"TC01000239.hg.1"	"IGSF21"	"NA"	"NA"	"NM_032880"
"238"	"TC01000240.hg.1"	"NA"	"NA"	"NA"	"---"
"239"	"TC01000241.hg.1"	"OTTHUMG00000002437"	"NA"	"NA"	"OTTHUMT00000006932"
"240"	"TC01000242.hg.1"	"KLHDC7A"	"NA"	"NA"	"NM_152375"
"241"	"TC01000243.hg.1"	"PAX7"	"NA"	"NA"	"NM_002584"
"242"	"TC01000244.hg.1"	"OTTHUMG00000037839"	"NA"	"NA"	"OTTHUMT00000092368"
"243"	"TC01000245.hg.1"	"MRTO4"	"NA"	"NA"	"NM_016183"
"244"	"TC01000246.hg.1"	"PQLC2"	"NA"	"NA"	"NM_001040125"
"245"	"TC01000247.hg.1"	"NA"	"NA"	"NA"	"---"
"246"	"TC01000248.hg.1"	"NA"	"NA"	"NA"	"---"
"247"	"TC01000250.hg.1"	"NA"	"NA"	"NA"	"---"
"248"	"TC01000251.hg.1"	"HTR6"	"NA"	"NA"	"NM_000871"
"249"	"TC01000252.hg.1"	"OTTHUMG00000002710"	"NA"	"NA"	"OTTHUMT00000007695"
"250"	"TC01000253.hg.1"	"OTUD3"	"NA"	"NA"	"NM_015207"
"251"	"TC01000254.hg.1"	"PLA2G5"	"NA"	"NA"	"NM_000929"
"252"	"TC01000255.hg.1"	"PLA2G2F"	"NA"	"NA"	"NM_022819"
"253"	"TC01000256.hg.1"	"OTTHUMG00000002703"	"NA"	"NA"	"OTTHUMT00000007685"
"254"	"TC01000257.hg.1"	"UBXN10"	"NA"	"NA"	"NM_152376"
"255"	"TC01000258.hg.1"	"OTTHUMG00000002707"	"NA"	"NA"	"OTTHUMT00000007692"
"256"	"TC01000259.hg.1"	"VWA5B1"	"NA"	"NA"	"NM_001039500"
"257"	"TC01000260.hg.1"	"FAM43B"	"NA"	"NA"	"NM_207334"
"258"	"TC01000261.hg.1"	"CDA"	"NA"	"NA"	"NM_001785"
"259"	"TC01000262.hg.1"	"PINK1"	"NA"	"NA"	"NM_032409"
"260"	"TC01000263.hg.1"	"OTTHUMG00000002621"	"NA"	"NA"	"OTTHUMT00000007456"
"261"	"TC01000264.hg.1"	"OTTHUMG00000037842"	"NA"	"NA"	"OTTHUMT00000092372"
"262"	"TC01000265.hg.1"	"NA"	"NA"	"NA"	"---"
