ID	ORF	GenBank	CLONE_ID	SPOT_ID
AC005740.4		AC005740.4		AC005740.4
AC005740.5		AC005740.5		AC005740.5
AC005740.6		AC005740.6		AC005740.6
AC005752.10		AC005752.10		AC005752.10
AC005754.7		AC005754.7		AC005754.7
AC005754.8		AC005754.8		AC005754.8
AC005757.7		AC005757.7		AC005757.7
AC005758.1		AC005758.1		AC005758.1
AC005772.2		AC005772.2		AC005772.2
AC005775.2		AC005775.2		AC005775.2
AC005776.1		AC005776.1		AC005776.1
AC005777.3		AC005777.3		AC005777.3
AC005779.2		AC005779.2		AC005779.2
AC005780.1		AC005780.1		AC005780.1
AC005785.2		AC005785.2		AC005785.2
AC005786.6		AC005786.6		AC005786.6
AC005789.9		AC005789.9		AC005789.9
AC005795.1		AC005795.1		AC005795.1
AC005796.2		AC005796.2		AC005796.2
AC005808.3		AC005808.3		AC005808.3
AC005822.1		AC005822.1		AC005822.1
AC005863.1		AC005863.1		AC005863.1
AC005863.2		AC005863.2		AC005863.2
AC005884.1		AC005884.1		AC005884.1
AC005915.1		AC005915.1		AC005915.1
AC005932.1		AC005932.1		AC005932.1
AC005944.2		AC005944.2		AC005944.2
AC005954.3		AC005954.3		AC005954.3
AC006004.1		AC006004.1		AC006004.1
AC006007.1		AC006007.1		AC006007.1
AC006011.4		AC006011.4		AC006011.4
AC006014.7		AC006014.7		AC006014.7
AC006014.8		AC006014.8		AC006014.8
AC006019.3		AC006019.3		AC006019.3
AC006019.4		AC006019.4		AC006019.4
AC006022.4		AC006022.4		AC006022.4
AC006026.10		AC006026.10		AC006026.10
AC006026.9		AC006026.9		AC006026.9
AC006028.11		AC006028.11		AC006028.11
AC006033.22		AC006033.22		AC006033.22
AC006037.2		AC006037.2		AC006037.2
AC006041.1		AC006041.1		AC006041.1
AC006042.7		AC006042.7		AC006042.7
AC006042.8		AC006042.8		AC006042.8
AC006050.2		AC006050.2		AC006050.2
AC006070.12		AC006070.12		AC006070.12
AC006076.1		AC006076.1		AC006076.1
AC006077.3		AC006077.3		AC006077.3
AC006116.12		AC006116.12		AC006116.12
AC006116.13		AC006116.13		AC006116.13
AC006116.15		AC006116.15		AC006116.15
AC006116.17		AC006116.17		AC006116.17
AC006116.19		AC006116.19		AC006116.19
AC006116.20		AC006116.20		AC006116.20
AC006116.21		AC006116.21		AC006116.21
AC006116.22		AC006116.22		AC006116.22
AC006126.3		AC006126.3		AC006126.3
AC006126.4		AC006126.4		AC006126.4
AC006128.2		AC006128.2		AC006128.2
AC006129.1		AC006129.1		AC006129.1
AC006129.2		AC006129.2		AC006129.2
AC006133.3		AC006133.3		AC006133.3
AC006145.4		AC006145.4		AC006145.4
AC006150.1		AC006150.1		AC006150.1
AC006153.3		AC006153.3		AC006153.3
AC006159.4		AC006159.4		AC006159.4
AC006159.5		AC006159.5		AC006159.5
AC006160.5		AC006160.5		AC006160.5
AC006195.2		AC006195.2		AC006195.2
AC006196.1		AC006196.1		AC006196.1
AC006227.1		AC006227.1		AC006227.1
AC006262.10		AC006262.10		AC006262.10
AC006262.4		AC006262.4		AC006262.4
AC006262.5		AC006262.5		AC006262.5
AC006273.4		AC006273.4		AC006273.4
AC006273.5		AC006273.5		AC006273.5
AC006277.2		AC006277.2		AC006277.2
AC006277.3		AC006277.3		AC006277.3
AC006296.2		AC006296.2		AC006296.2
AC006326.3		AC006326.3		AC006326.3
AC006328.9		AC006328.9		AC006328.9
AC006335.2		AC006335.2		AC006335.2
AC006335.6		AC006335.6		AC006335.6
AC006355.3		AC006355.3		AC006355.3
AC006369.2		AC006369.2		AC006369.2
AC006369.3		AC006369.3		AC006369.3
AC006372.4		AC006372.4		AC006372.4
AC006372.5		AC006372.5		AC006372.5
AC006372.6		AC006372.6		AC006372.6
AC006373.1		AC006373.1		AC006373.1
AC006378.2		AC006378.2		AC006378.2
AC006390.4		AC006390.4		AC006390.4
AC006445.7		AC006445.7		AC006445.7
AC006449.2		AC006449.2		AC006449.2
AC006460.2		AC006460.2		AC006460.2
AC006461.2		AC006461.2		AC006461.2
AC006466.5		AC006466.5		AC006466.5
AC006482.1		AC006482.1		AC006482.1
AC006483.5		AC006483.5		AC006483.5
AC006486.10		AC006486.10		AC006486.10
AC006486.9		AC006486.9		AC006486.9
AC006499.1		AC006499.1		AC006499.1
AC006499.3		AC006499.3		AC006499.3
AC006499.4		AC006499.4		AC006499.4
AC006499.5		AC006499.5		AC006499.5
AC006499.7		AC006499.7		AC006499.7
AC006509.4		AC006509.4		AC006509.4
AC006538.1		AC006538.1		AC006538.1
AC006538.4		AC006538.4		AC006538.4
AC006538.8		AC006538.8		AC006538.8
AC006539.2		AC006539.2		AC006539.2
AC006547.13		AC006547.13		AC006547.13
AC006547.14		AC006547.14		AC006547.14
AC006548.28		AC006548.28		AC006548.28
AC006552.1		AC006552.1		AC006552.1
AC006840.1		AC006840.1		AC006840.1
AC006946.15		AC006946.15		AC006946.15
AC006946.16		AC006946.16		AC006946.16
AC006946.17		AC006946.17		AC006946.17
AC006947.1		AC006947.1		AC006947.1
AC006960.5		AC006960.5		AC006960.5
AC006978.6		AC006978.6		AC006978.6
AC006987.4		AC006987.4		AC006987.4
AC006987.7		AC006987.7		AC006987.7
AC006988.1		AC006988.1		AC006988.1
AC006994.1		AC006994.1		AC006994.1
AC006994.3		AC006994.3		AC006994.3
AC006995.8		AC006995.8		AC006995.8
AC007000.10		AC007000.10		AC007000.10
AC007000.12		AC007000.12		AC007000.12
AC007003.1		AC007003.1		AC007003.1
AC007009.1		AC007009.1		AC007009.1
AC007016.3		AC007016.3		AC007016.3
AC007036.4		AC007036.4		AC007036.4
AC007036.6		AC007036.6		AC007036.6
AC007038.7		AC007038.7		AC007038.7
AC007040.11		AC007040.11		AC007040.11
AC007041.2		AC007041.2		AC007041.2
AC007050.17		AC007050.17		AC007050.17
AC007050.18		AC007050.18		AC007050.18
AC007078.4		AC007078.4		AC007078.4
AC007098.1		AC007098.1		AC007098.1
AC007099.1		AC007099.1		AC007099.1
AC007099.2		AC007099.2		AC007099.2
AC007115.3		AC007115.3		AC007115.3
AC007126.1		AC007126.1		AC007126.1
AC007128.1		AC007128.1		AC007128.1
AC007131.1		AC007131.1		AC007131.1
AC007131.2		AC007131.2		AC007131.2
AC007161.5		AC007161.5		AC007161.5
AC007163.3		AC007163.3		AC007163.3
AC007163.6		AC007163.6		AC007163.6
AC007179.1		AC007179.1		AC007179.1
AC007182.6		AC007182.6		AC007182.6
AC007191.4		AC007191.4		AC007191.4
AC007193.6		AC007193.6		AC007193.6
AC007193.8		AC007193.8		AC007193.8
AC007193.9		AC007193.9		AC007193.9
AC007204.2		AC007204.2		AC007204.2
AC007228.11		AC007228.11		AC007228.11
AC007228.5		AC007228.5		AC007228.5
AC007228.8		AC007228.8		AC007228.8
AC007228.9		AC007228.9		AC007228.9
AC007229.3		AC007229.3		AC007229.3
AC007237.2		AC007237.2		AC007237.2
AC007238.1		AC007238.1		AC007238.1
AC007246.3		AC007246.3		AC007246.3
AC007248.7		AC007248.7		AC007248.7
AC007250.4		AC007250.4		AC007250.4
AC007251.2		AC007251.2		AC007251.2
AC007253.1		AC007253.1		AC007253.1
