""	"probe_id"	"symbol"
"424023"	"ILMN_1652306"	"MEGF10"
"424024"	"ILMN_1652309"	"TTC8"
"424025"	"ILMN_1652314"	"SPAG1"
"424026"	"ILMN_1652333"	"FN3KRP"
"424027"	"ILMN_1652357"	"PDHX"
"424028"	"ILMN_1652365"	"DNAH14"
"424029"	"ILMN_1652366"	"NLRP7"
"424030"	"ILMN_1652371"	"KIAA1324L"
"424031"	"ILMN_1652379"	"SUCLG2"
"424032"	"ILMN_1652389"	"CALML4"
"424033"	"ILMN_1652390"	"GJB3"
"424034"	"ILMN_1652392"	"DCHS2"
"424035"	"ILMN_1652394"	"RAB2A"
"424036"	"ILMN_1652397"	"TRPT1"
"424037"	"ILMN_1652407"	"ZMYND8"
"424038"	"ILMN_1652409"	"SPATA7"
"424039"	"ILMN_1652412"	"PHKB"
"424040"	"ILMN_1652413"	"UCN2"
"424041"	"ILMN_1652421"	"ANKRD35"
"424042"	"ILMN_1652423"	"RREB1"
"424043"	"ILMN_1652424"	"OR1S1"
"424044"	"ILMN_1652431"	"CA1"
"424045"	"ILMN_1652434"	"MTHFD2L"
"424046"	"ILMN_1652439"	"KRTAP3-1"
"424047"	"ILMN_1652443"	"NDST2"
"424048"	"ILMN_1652444"	"MEX3A"
"424049"	"ILMN_1652445"	"RAC1"
"424050"	"ILMN_1652456"	"TMEM98"
"424051"	"ILMN_1652461"	"PARD3B"
"424052"	"ILMN_1652464"	"TUBA3E"
"424053"	"ILMN_1652465"	"SLC26A4"
"424054"	"ILMN_1652469"	"LOC100506990"
"424055"	"ILMN_1652472"	"BRAF"
"424056"	"ILMN_1652474"	"SPG21"
"424057"	"ILMN_1652486"	"THAP7"
"424058"	"ILMN_1652487"	"RIOK1"
"424059"	"ILMN_1652490"	"MANSC1"
"424060"	"ILMN_1652505"	"APEX2"
"424061"	"ILMN_1652512"	"C2CD2"
"424062"	"ILMN_1652521"	"MTMR9"
"424063"	"ILMN_1652525"	"MVB12B"
"424064"	"ILMN_1652533"	"POM121L8P"
"424065"	"ILMN_1652540"	"RELL2"
"424066"	"ILMN_1652549"	"DTNA"
"424067"	"ILMN_1652550"	"LINC01061"
"424068"	"ILMN_1652569"	"AP1G1"
"424069"	"ILMN_1652578"	"TSHB"
"424070"	"ILMN_1652580"	"POLD1"
"424071"	"ILMN_1652591"	"RNF151"
"424072"	"ILMN_1652594"	"ACTR5"
"424073"	"ILMN_1652602"	"LMNTD2"
"424074"	"ILMN_1652609"	"ARHGEF28"
"424075"	"ILMN_1652611"	"C1D"
"424076"	"ILMN_1652631"	"GLIPR2"
"424077"	"ILMN_1652642"	"SURF6"
"424078"	"ILMN_1652646"	"LOC100131257"
"424079"	"ILMN_1652647"	"INPP4A"
"424080"	"ILMN_1652649"	"NECTIN2"
"424081"	"ILMN_1652650"	"SH3KBP1"
"424082"	"ILMN_1652653"	"IQCN"
"424083"	"ILMN_1652662"	"GRB10"
"424084"	"ILMN_1652675"	"DEXI"
"424085"	"ILMN_1652677"	"FAM89A"
"424086"	"ILMN_1652686"	"POP4"
"424087"	"ILMN_1652687"	"TMEM198B"
"424088"	"ILMN_1652693"	"SHH"
"424089"	"ILMN_1652694"	"FAM131B"
"424090"	"ILMN_1652715"	"C10orf111"
"424091"	"ILMN_1652716"	"ERI1"
"424092"	"ILMN_1652719"	"TMCO5A"
"424093"	"ILMN_1652722"	"ATP5MPL"
"424094"	"ILMN_1652727"	"GLT8D1"
"424095"	"ILMN_1652729"	"ANK2"
"424096"	"ILMN_1652732"	"HTR7"
"424097"	"ILMN_1652734"	"ZNF541"
"424098"	"ILMN_1652735"	"RFXAP"
"424099"	"ILMN_1652736"	"RPS6KA3"
"424100"	"ILMN_1652740"	"TEX48"
"424101"	"ILMN_1652745"	"RPL23AP7"
"424102"	"ILMN_1652748"	"RPL18A"
"424103"	"ILMN_1652749"	"ERF"
"424104"	"ILMN_1652753"	"PAAF1"
"424105"	"ILMN_1652754"	"ZNF428"
"424106"	"ILMN_1652762"	"HIC2"
"424107"	"ILMN_1652763"	"SMIM20"
"424108"	"ILMN_1652766"	"CASP8AP2"
"424109"	"ILMN_1652768"	"RPS2"
"424110"	"ILMN_1652774"	"L3MBTL3"
"424111"	"ILMN_1652777"	"CDC42EP2"
"424112"	"ILMN_1652780"	"TMOD2"
"424113"	"ILMN_1652787"	"PIK3AP1"
"424114"	"ILMN_1652788"	"GDNF"
"424115"	"ILMN_1652790"	"CLK1"
"424116"	"ILMN_1652794"	"NEK3"
"424117"	"ILMN_1652797"	"FAM174B"
"424118"	"ILMN_1652802"	"SP140"
"424119"	"ILMN_1652805"	"PTPN13"
"424120"	"ILMN_1652807"	"HOXA3"
"424121"	"ILMN_1652819"	"OPA3"
"424122"	"ILMN_1652825"	"IL10RA"
